Question;Category
What year was the battle at Waterloo fought?;Factual
List the more notable historical events in the 15th century.;Factual
Analyze the effects of climate change on coastal cities.;Summarization
Can you set up a recurring team meeting every Monday?;Operational
Why does the machine sound different today?;Clarification
How many moons does Jupiter have?;Factual
Discuss the philosophical concepts in The Republic by Plato.;Summarization
Generate a weekly attendance report for the team.;Operational
It’s not where I left it.;Clarification
Name the architect of the Eiffel Tower.;Factual
What are the societal impacts of remote work culture?;Summarization
Could you create a report summarizing last month’s sales figures?;Operational
The blue light keeps blinking faster.;Clarification
Provide the acceleration due to gravity on Earth.;Factual
Summarize the narrative themes in Moby Dick.;Summarization
Schedule a software update for all company computers.;Operational
The trees outside look strange today.;Clarification
What is the name of the largest island in the world?;Factual
Highlight the contributions of Marie Curie to science.;Summarization
Can you prepare a budget for the marketing team?;Operational
Why does this feel different every time?;Clarification
State the number of colors in a rainbow.;Factual
Explain the importance of biodiversity for ecosystems.;Summarization
Could you arrange a system maintenance check this weekend?;Operational
It’s here, but it’s not working.;Clarification
Name the highest mountain in Africa.;Factual
Compare the effectiveness of in-person vs. online education.;Summarization
How do I export all the contacts in the CRM database?;Operational
It’s brighter than usual.;Clarification
What is the national animal of Canada?;Factual
Discuss the challenges of renewable energy storage.;Summarization
Is there a way to generate a summary of pending tasks?;Operational
All upside down now.;Clarification
What’s the most widely spoken language in the world?;Factual
Summarize the major technological advancements of the 21st century.;Summarization
Could you set up email reminders for all upcoming events?;Operational
When the candle melts, does it cry?;Clarification
Provide the number of elements in the periodic table.;Factual
Analyze the economic impact of the COVID-19 pandemic.;Summarization
When will the quarterly reports be ready for review?;Operational
The alarm won’t stop.;Clarification
Name the capital city of Brazil.;Factual
Explore the relationship between technology and mental health.;Summarization
Can you generate a chart for team productivity this year?;Operational
It feels different when it’s quiet.;Clarification
List all Nobel Peace Prize winners from 2000 to 2020.;Factual
Identify the largest desert on Earth.;Factual
Discuss the impact of artificial intelligence on the job market.;Summarization
Can you configure the new user accounts by tomorrow?;Operational
prone?;Clarification
Provide the boiling point of water in Fahrenheit.;Factual
Analyze the symbolism in George Orwell's Animal Farm.;Summarization
Schedule a meeting with the product design team for next week.;Operational
It was green yesterday, now it’s blue.;Clarification
State the main ingredient in a Margherita pizza.;Factual
Summarize the cultural significance of the Olympic Games.;Summarization
Can you upload the new project files to the shared drive?;Operational
oshg g suogh sfriohg.;Clarification
